Testament,Book,Chapter,Verse,Content
"Old","1","2","7","Na AWURADE Nyankopɔn de fam dɔte nwenee onipa, na ohuw nkwa home guu ne hwene mu, na onipa yɛɛ ɔkra teasefo."
"Old","1","2","8","Na AWURADE Nyankopɔn yɛɛ turo bi wɔ Eden a ɛwɔ apuei fam, na ɔde onipa a ɔnwenee no, tenaa hɔ."
"Old","1","2","9","Na AWURADE Nyankopɔn maa nnua ahorow nyinaa a wɔhwɛ a, ɛyɛ fɛ, na eye sɛ wodi asase no so, ne nkwa dua a esi turo no mfinimfini, ne papa ne bɔne hu dua fifii asase so."
"Old","1","2","10","Na asu bi fi Eden bɛfɔw turo no, na efi hɔ ara na emu paepae yɛɛ nsuti anan."
"Old","1","2","11","Nea edi kan no din de Pison, ɛno na ɛkɔntɔn twa Hawila asase a sika wɔ so no nyinaa ho hyia;"
"Old","1","2","12","na asase no so sika ye; ɛhɔ na bedola ne apopobibiribo wɔ."
"Old","1","2","13","Na asu a ɛto so abien no din de Gihon, ɛno na ɛkɔntɔn twa Kus asase nyinaa ho hyia."
"Old","1","2","14","Na asu a ɛto so abiɛsa ne Tigri, ɛno na ɛsen wɔ Asaria apuei. Na asu a ɛto so anan ne Eufrate."
"Old","1","2","15","Na AWURADE Nyankopɔn de onipa no kɔtenaa Eden turom sɛ ɔnnɔw na ɔnwɛn hɔ."
"Old","1","2","16","Na ɔhyɛɛ onipa no sɛ: Turom ha nnua nyinaa, di bi."
"Old","1","2","17","Na papa ne bɔne hu dua no de, nni, efisɛ da a wubedi bi no, owu na wubewu."
"Old","1","2","18","Na AWURADE Nyankopɔn kae sɛ: Enye sɛ onipa nko tena, mɛyɛ ne sɛso boafo mama no."
"Old","1","2","19","Na AWURADE Nyankopɔn de dɔte nwenee wuram mmoadoma nyinaa ne wim nnomaa nyinaa, na ɔde wɔn baa onipa no nkyɛn sɛ obehu sɛnea ɔbɛfrɛ wɔn. Na nea onipa de frɛɛ abɔde a ɛte ase biara no, ɛno ara ne ne din."
"Old","1","2","20","Na onipa totoo afieboa nyinaa ne wim nnomaa ne wuram mmoadoma nyinaa din. Nanso onipa de, wɔannya ne sɛso boafo amma no."
"Old","1","2","21","Na AWURADE Nyankopɔn maa nnahɔɔ tɔɔ onipa no so, na ɔdae, na oyii ne mfe pare mu biako, na ɔde nam tuaa anan mu."
"Old","1","2","22","Na AWURADE Nyankopɔn de mfe pare a oyi fii onipa no mu no yɛɛ ɔbea, na ɔde no brɛɛ onipa no."
"Old","1","2","23","Na onipa no kae sɛ: Ampa ara me nnompe mu dompe ne me honam mu nam ankasa ni. Oyi na wɔbɛfrɛ no ɔbea, efisɛ ɔbarima mu na woyii no fii."
"Old","1","2","24","Ne saa nti na ɔbarima begyaw ne na ne n'agya, na ɔde ne ho akɔbata ne yere ho, na wɔayɛ ɔhonam koro."
"Old","1","2","25","Na wɔn baanu no deda adagyaw, ɔbarima no ne ne yere, na wɔn ani nwu."
